head,relation,tail,label
Jisun AN,has authored,Media landscape in Twitter: A world of new conventions and political diversity,1
Jisun AN,has authored,Breaking the news: First impressions matter on online news,1
Jisun AN,has authored,Recommending investors for crowdfunding projects,1
Jisun AN,has authored,High correlation of Middle East respiratory syndrome spread with Google search and Twitter trends in Korea,1
Jisun AN,has authored,Customer segmentation using online platforms: isolating behavioral and demographic segments for persona creation via aggregated user data,1
Jisun AN,has authored,Anatomy of Online Hate: Developing a Taxonomy and Machine Learning Models for Identifying and Classifying Hate in Online News Media.,1
Jisun AN,has authored,Visualizing media bias through Twitter,1
Jisun AN,has authored,Persona generation from aggregated social media data,1
Jisun AN,has authored,Partisan sharing: Facebook evidence and societal consequences,1
Jisun AN,has authored,Sharing political news: the balancing act of intimacy and socialization in selective exposure,1
Jisun AN,has authored,Imaginary people representing real numbers: Generating personas from online social media data,1
Jisun AN,has authored,# greysanatomy vs.# yankees: Demographics and Hashtag Use on Twitter,1
Jisun AN,has authored,Fragmented social media: a look into selective exposure to political news,1
Jisun AN,has authored,Discursive power in contemporary media systems: A comparative framework,1
Jisun AN,has authored,A first look at global news coverage of disasters by using the gdelt dataset,1
Jisun AN,has authored,Are personas done? Evaluating their usefulness in the age of digital analytics,1
Jisun AN,has authored,“Is More Better?” Impact of Multiple Photos on Perception of Persona Profiles,1
Jisun AN,has authored,"Assessing the Accuracy of Four Popular Face Recognition Tools for Inferring Gender, Age, and Race.",1
Jisun AN,has authored,Political discussions in homogeneous and cross-cutting communication spaces,1
Jisun AN,has authored,Why do I retweet it? An information propagation model for microblogs,1
Jisun AN,has authored,Are you Charlie or Ahmed? Cultural pluralism in Charlie Hebdo response on Twitter,1
Jisun AN,has authored,"From 2,772 segments to five personas: Summarizing a diverse online audience by generating culturally adapted personas",1
Jisun AN,has authored,Personas for content creators via decomposed aggregate audience statistics,1
Jisun AN,has authored,Towards automatic persona generation using social media,1
Jisun AN,has authored,"View, like, comment, post: Analyzing user engagement by topic at 4 levels across 5 social media platforms for 53 news organizations",1
Jisun AN,has authored,Automatic generation of personas using youtube social media data,1
Jisun AN,has authored,Semaxis: A lightweight framework to characterize domain-specific word semantics beyond sentiment,1
Jisun AN,has authored,Generating cultural personas from social data: a perspective of middle eastern users,1
Jisun AN,has authored,Confusion and information triggered by photos in persona profiles,1
Jisun AN,has authored,Persona perception scale: developing and validating an instrument for human-like representations of data,1
Jisun AN,has authored,Demographics of news sharing in the us twittersphere,1
Jisun AN,has authored,Automatic Persona Generation (APG) A Rationale and Demonstration,1
Jisun AN,has authored,Two tales of the world: Comparison of widely used world news datasets GDELT and EventRegistry,1
Jisun AN,has authored,Understanding news geography and major determinants of global news coverage of disasters,1
Jisun AN,has authored,Validating social media data for automatic persona generation,1
Jisun AN,has authored,Why individuals seek diverse opinions (or why they don't),1
Jisun AN,has authored,Automatic persona generation for online content creators: Conceptual rationale and a research agenda,1
Jisun AN,has authored,Who are your users? comparing media professionals' preconception of users to data-driven personas,1
Jisun AN,has authored,FrameAxis: characterizing microframe bias and intensity with word embedding,1
Jisun AN,has authored,Automatically conceptualizing social media analytics data via personas,1
Jisun AN,has authored,"What we read, what we search: Media attention and public attention among 193 countries",1
Jisun AN,has authored,Consumers and suppliers: attention asymmetries. A case study of Al Jazeera’s news coverage and comments,1
Jisun AN,has authored,A social relation aware routing protocol for mobile ad hoc networks,1
Jisun AN,has authored,Revealing the hidden patterns of news photos: analysis of millions of news photos using GDELT and deep learning-based Vision APIs,1
Jisun AN,has authored,Whom should we sense in “social sensing”-analyzing which users work best for social media now-casting,1
Jisun AN,has authored,Findings of a user study of automatically generated personas,1
Jisun AN,has authored,Viewed by too many or viewed too little: using information dissemination for audience segmentation,1
Jisun AN,has authored,Persona Perception Scale: Development and Exploratory Validation of an Instrument for Evaluating Individuals’ Perceptions of Personas,1
Jisun AN,has authored,What Was Written vs. Who Read It: News Media Profiling Using Text Analysis and Social Media Context,1
Jisun AN,has authored,Inferring social media users’ demographics from profile pictures: A Face++ analysis on Twitter users,1
Jisun AN,has authored,Fixation and Confusion: Investigating Eye-tracking Participants' Exposure to Information in Personas,1
Jisun AN,has authored,Confusion Prediction from Eye-Tracking Data: Experiments with Machine Learning,1
Jisun AN,has authored,What gets media attention and how media attention evolves over time-large-scale empirical evidence from 196 countries,1
Jisun AN,has authored,Data-driven approach to measuring the level of press freedom using media attention diversity from unfiltered news,1
Jisun AN,has authored,A Systematic Media Frame Analysis of 1.5 Million New York Times Articles from 2000 to 2017,1
Jisun AN,has authored,The challenges of creating engaging content: Results from a focus group study of a popular news media organization,1
Jisun AN,has authored,Traditional media seen from social media,1
Jisun AN,has authored,Social media mining for journalism,1
Jisun AN,has authored,Are personas done?: Evaluating the usefulness of personas in the age of online analytics,1
Jisun AN,has authored,Diversity in online advertising: a case study of 69 brands on social media,1
Jisun AN,has authored,Empirical Evaluation of Three Common Assumptions in Building Political Media Bias Datasets,1
Jisun AN,has authored,Gender and racial diversity in commercial brands’ advertising images on social media,1
Jisun AN,has authored,Predicting Audience Engagement Across Social Media Platforms in the News Domain,1
Jisun AN,has authored,Convergence of media attention across 129 countries,1
Jisun AN,has authored,Efforts towards automatically generating personas in real-time using actual user data,1
Jisun AN,has authored,Multidimensional Analysis of Gender and Age Differences in News Consumption,1
Jisun AN,has authored,Populist Supporters on Reddit: A Comparison of Content and Behavioral Patterns Within Publics of Supporters of Donald Trump and Hillary Clinton,1
Jisun AN,has authored,Multiplex media attention and disregard network among 129 countries,1
Jisun AN,has authored,Revealing the hidden patterns of news photos: Analysis of millions of news photos through gdelt and deep learning-based vision apis,1
Jisun AN,has authored,Interference-aware routing protocol in multi-radio wireless mesh networks,1
Jisun AN,has authored,Predicting Anti-Asian Hateful Users on Twitter during COVID-19,1
Jisun AN,has authored,How-to Present News on Social Media: A Causal Analysis of Editing News Headlines for Boosting User Engagement,1
Jisun AN,has authored,Identifying and Characterizing Alternative News Media on Facebook,1
Jisun AN,has authored,Going beyond accuracy: estimating homophily in social networks using predictions,1
Jisun AN,has authored,Multidimensional analysis of the news consumption of different demographic groups on a nationwide scale,1
Jisun AN,has authored,Precision Public Health Campaign: Delivering Persuasive Messages to Relevant Segments Through Targeted Advertisements on Social Media,1
Jisun AN,has authored,A Survey on Predicting the Factuality and the Bias of News Media,1
Jisun AN,has authored,Stylistic Features Usage: Similarities and Differences Using Multiple Social Networks,1
Jisun AN,has authored,Tanbih: Get to know what you are reading,1
Jisun AN,has authored,Combining Behaviors and Demographics to Segment Online Audiences: Experiments with a YouTube Channel,1
Jisun AN,has authored,A social transitivity-based data dissemination scheme for opportunistic networks,1
Jisun AN,has authored,Social-relation Aware Routing Protocol in Mobile Ad hoc Networks,1
Jisun AN,has authored,"What really matters?: characterising and predicting user engagement of news postings using multiple platforms, sentiments and topics",1
Jisun AN,has authored,Estimating Homophily in Social Networks Using Dyadic Predictions,1
Jisun AN,has authored,Introduction to Ph. D. Symposium,1
Jisun AN,has authored,"Knowledge and Anxiety about COVID-19 in the State of Qatar, and the Middle East and North Africa Region—A Cross Sectional Study",1
Jisun AN,has authored,Reports of the Workshops Held at the 2020 International Association for the Advancement of Artificial Intelligence Conference on Web and Social Media,1
Jisun AN,has authored,Characterizing Toxicity in Facebook Comments,1
Jisun AN,has authored,Reports of the workshops held at the 2018 international AAAI conference on web and social media,1
Jisun AN,has authored,Leveraging Online Social Media Data for Persona Profiling,1
Jisun AN,has authored,“Is More Better?”: Impact of Multiple Photos on Perception of Persona Profiles,1
Jisun AN,has authored,Reports of the Workshops Held at the 2017 International AAAI Conference on Web and Social Media,1
Jisun AN,has authored,Leveraging Social Analytics Data for Identifying Customer Segments for Online News Media,1
Jisun AN,has authored,Reports of the workshops held at the 2016 International AAAI Conference on Web and Social Media,1
Jisun AN,has authored,Apparatus and method for processing contents using routing table,1
Jisun AN,has authored,Considering Interference and Li k Q lit f M lti R di Link Quality of Multi-Radio Wireless Mesh Networks,1
Jisun AN,has authored,Social Media Mining for Journalism: Guest Editorial,1
Jisun AN,has authored,Demo: Smartwatch based shopping gesture recognition.(2016),0
Jisun AN,has authored,TagScan: Simultaneous target imaging and material identification with commodity RFID devices,0
Jisun AN,has authored,Challenges and opportunities in taxi fleet anomaly detection,0
Jisun AN,has authored,Simplifying cyber foraging,0
Jisun AN,has authored,Globally distributed software development project performance: an empirical analysis,0
Jisun AN,has authored,The impact of process choice in high maturity environments: An empirical analysis,0
Jisun AN,has authored,Smartphones and ble services: Empirical insights,0
Jisun AN,has authored,"Configuring Global Software Teams: A Multi-Company Analysis of Project Productivity, Quality, and Profits",0
Jisun AN,has authored,The case for human-centric personal analytics,0
Jisun AN,has authored,Challenges and Opportunities in Taxi Fleet Anomaly Detection,0
Jisun AN,has authored,Handling location uncertainty in event driven experimentation,0
Jisun AN,has authored,The challenge of continuous mobile context sensing,0
Jisun AN,has authored,Design and implementation of human memorable fingerprints,0
Jisun AN,has authored,Session details: Automotive applications,0
Jisun AN,has authored,Demo: Profiling power utilization behaviours of smartwatch applications.(2016),0
Jisun AN,has authored,The case for smartwatch-based diet monitoring,0
Jisun AN,has authored,Game Action Based Power Management for Multiplayer Online Game,0
Jisun AN,has authored,HuMan: Creating memorable fingerprints of mobile users,0
Jisun AN,has authored,"Experiences with performance tradeoffs in practical, continuous indoor localization",0
Jisun AN,has authored,Real-time detection of seat occupancy & hogging,0
Jisun AN,has authored,Towards Detecting and Reducing Unnecessary Active Scans in WLANs,0
Jisun AN,has authored,IEEE Symposium on Security and Privacy,0
Jisun AN,has authored,Empath-d: Empathetic design for accessibility,0
Jisun AN,has authored,Game Action Based Power Management for Multiplayer Online Game.(2009),0
Jisun AN,has authored,Evolution of a bluetooth test application product line: a case study,0
Jisun AN,has authored,New challenges in display-saturated environments,0
Jisun AN,has authored,ARIVU: Making Networked Mobile Games Green-A Scalable Power-Aware Middleware.,0
Jisun AN,has authored,Need accurate user behaviour? pay attention to groups!,0
Jisun AN,has authored,Tactics-Based Remote Execution for Mobile Computing. 2003,0
Jisun AN,has authored,SIS-External Research Statement,0
Jisun AN,has authored,Dimorphic computing,0
Jisun AN,has authored,Simplifying cyber foraging for mobile devices,0
Jisun AN,has authored,TCP HACK: TCP header checksum option to improve performance over lossy links,0
Jisun AN,has authored,Experiences & challenges with server-side wifi indoor localization using existing infrastructure,0
Jisun AN,has authored,BSN 2010 Technical Programme Committee,0
Jisun AN,has authored,Deal or no deal: Catering to user preferences,0
Jisun AN,has authored,Real-time Detection for Multiple Occupancy and Near Real-time Hogging Detection,0
Jisun AN,has authored,Livelabs: Initial reflections on building a large-scale mobile behavioral experimentation testbed,0
Jisun AN,has authored,Jarvis: A Behavioural Experimentation Platform,0
Jisun AN,has authored,Graph-aided directed testing of Android applications for checking runtime privacy behaviours.(2016),0
Jisun AN,has authored,Livelabs: Building in-situ mobile sensing & behavioural experimentation testbeds,0
Jisun AN,has authored,What do Mobile Users Really Carry and Use?,0
Jisun AN,has authored,Matrix: Adaptive middleware for distributed multiplayer games,0
Jisun AN,has authored,Finding small-bowel lesions: challenges in endoscopy-image-based learning systems,0
Jisun AN,has authored,Demo Abstract: Group Analytics and Insights for Public Spaces,0
Jisun AN,has authored,The case for cloud-enabled mobile sensing services,0
Jisun AN,has authored,I4S: capturing shopper's in-store interactions,0
Jisun AN,has authored,Spatio-temporal efficiency in a taxi dispatch system,0
Jisun AN,has authored,Fogfly: A traffic light optimization solution based on fog computing,0
Jisun AN,has authored,Deep ECG Wave Estimation Model with Seismograph Sensor (poster),0
Jisun AN,has authored,The Impact of Process Choice in High Maturity Environments: An Empirical Analysis.(2009),0
Jisun AN,has authored,Arivu: Making networked mobile games green,0
Jisun AN,has authored,Focusvr: Effective & usable vr display power management,0
Jisun AN,has authored,Examining augmented virtuality impairment simulation for mobile app accessibility design,0
Jisun AN,has authored,Deepmon: Building mobile gpu deep learning models for continuous vision applications,0
Jisun AN,has authored,A Low-power Graphics Library for Mobile AR Headset Application Development,0
Jisun AN,has authored,Exploratory Analysis of Individuals' Mobility Patterns and Experienced Conflicts in Workgroups,0
Jisun AN,has authored,Queuevadis: Queuing analytics using smartphones,0
Jisun AN,has authored,Session details: Session 1: Analytics for Mental and Physical Health,0
Jisun AN,has authored,Session details: Sensors and data,0
Jisun AN,has authored,Jasper: Sensing gamers' emotions using physiological sensors,0
Jisun AN,has authored,Meeting the software engineering challenges of adaptive mobile applications,0
Jisun AN,has authored,Adaptive Display Power Management for OLED Displays.(2012),0
Jisun AN,has authored,Wifitrace: Network-based contact tracing for infectious diseases using passive wifi sensing,0
Jisun AN,has authored,Application Assisted Power Management in Multiplayer Mobile Games–Poster & Demo,0
Jisun AN,has authored,Session details: PAPER SESSION 8: Mobile Performance,0
Jisun AN,has authored,IoT+ Small Data: Transforming in-store shopping analytics & services,0
Jisun AN,has authored,Wi-Fi Based Indoor Localization is Not Easy,0
Jisun AN,has authored,The case for mobile forensics of private data leaks: Towards large-scale user-oriented privacy protection,0
Jisun AN,has authored,Scalable Consistency Protocols for Massively Multiplayer Games,0
Jisun AN,has authored,"Multi-Modal Network Protocols Rajesh Krishna Balan, Aditya Akella, Srini Seshan Carnegie Mellon University {rajesh+, aditya+, srini+}@ cs. cmu. edu",0
Jisun AN,has authored,2021 Index IEEE Transactions on Mobile Computing Vol. 20,0
Jisun AN,has authored,GPU-based image recognition and object detection on commodity mobile devices,0
Jisun AN,has authored,Research Statement Adaptive Remote Execution for Cyber Foraging,0
Jisun AN,has authored,Cyber foraging: Fifteen years later,0
Jisun AN,has authored,Demo of mobile forensics: Identification of leak causes in mobile applications,0
Jisun AN,has authored,Analyzing the impact of covid-19 control policies on campus occupancy and mobility via passive wifi sensing,0
Jisun AN,has authored,Analyzing the Impact of COVID-19 Control Policies on Campus Occupancy and Mobility via WiFi Sensing,0
Jisun AN,has authored,Engagemon: Multi-modal engagement sensing for mobile games,0
Jisun AN,has authored,FogFly: A traffic light optimization solution based on fog computing.(2018),0
Jisun AN,has authored,{Tactics-Based} Remote Execution for Mobile Computing,0
Jisun AN,has authored,Reviewer Thanks,0
Jisun AN,has authored,Real-time trip information service for a large taxi fleet,0
Jisun AN,has authored,TCP tunnels: avoiding congestion collapse,0
Jisun AN,has authored,"Configuring global software teams: a multi-company analysis of project productivity, quality, and profits",0
Jisun AN,has authored,I4S: Capturing shopper’s in-store interactions.(2018),0
Jisun AN,has authored,Mobile platform and application research at SMU LiveLabs,0
Jisun AN,has authored,The digital wallet: Opportunities and prototypes,0
Jisun AN,has authored,Digital wallet: Requirements and challenges,0
Jisun AN,has authored,The Case for Mobile Forensics of Private Data Leaks: Towards Large-Scale User-Oriented Privacy Protection.(2013),0
Jisun AN,has authored,Dimorphic Computing: Sustainable Performance Through Thick and Thin,0
Jisun AN,has authored,Towards recognition of rich non-negative emotions using daily wearable devices,0
Jisun AN,has authored,Demo of MAMBA: A Graph-Aided Directed Tester for Android Applications,0
Jisun AN,has authored,Gameon: P2p gaming on public transport,0
Jisun AN,has authored,VitaMon: measuring heart rate variability using smartphone front camera,0
Jisun AN,has authored,Next generation mobile computing for dynamic personalised travel planning international workshop,0
Jisun AN,has authored,mFerio: the design and evaluation of a peer-to-peer mobile payment system (2009),0
Rajesh Krishna BALAN,has authored,The case for cyber foraging,1
Rajesh Krishna BALAN,has authored,{Tactics-Based} Remote Execution for Mobile Computing,1
Rajesh Krishna BALAN,has authored,Deepmon: Mobile gpu-based deep learning framework for continuous vision applications,1
Rajesh Krishna BALAN,has authored,Simplifying cyber foraging for mobile devices,1
Rajesh Krishna BALAN,has authored,Real-time trip information service for a large taxi fleet,1
Rajesh Krishna BALAN,has authored,Barometric phone sensors: More hype than hope!,1
Rajesh Krishna BALAN,has authored,Globally distributed software development project performance: an empirical analysis,1
Rajesh Krishna BALAN,has authored,Adaptive display power management for mobile games,1
Rajesh Krishna BALAN,has authored,"Configuring global software teams: a multi-company analysis of project productivity, quality, and profits",1
Rajesh Krishna BALAN,has authored,TagScan: Simultaneous target imaging and material identification with commodity RFID devices,1
Rajesh Krishna BALAN,has authored,Grumon: Fast and accurate group monitoring for heterogeneous urban spaces,1
Rajesh Krishna BALAN,has authored,TCP HACK: TCP header checksum option to improve performance over lossy links,1
Rajesh Krishna BALAN,has authored,The case for smartwatch-based diet monitoring,1
Rajesh Krishna BALAN,has authored,mFerio: the design and evaluation of a peer-to-peer mobile payment system,1
Rajesh Krishna BALAN,has authored,Generalized on-demand service architecture for interactive applications,1
Rajesh Krishna BALAN,has authored,FOCUS: a usable & effective approach to OLED display power management,1
Rajesh Krishna BALAN,has authored,Matrix: Adaptive middleware for distributed multiplayer games,1
Rajesh Krishna BALAN,has authored,Deepsense: A gpu-based deep convolutional neural network framework on commodity mobile devices,1
Rajesh Krishna BALAN,has authored,Smartphones and ble services: Empirical insights,1
Rajesh Krishna BALAN,has authored,Livelabs: Building an in-situ real-time mobile experimentation testbed,1
Rajesh Krishna BALAN,has authored,CAMEO: A middleware for mobile advertisement delivery,1
Rajesh Krishna BALAN,has authored,Overcoming the challenges in cost estimation for distributed software projects,1
Rajesh Krishna BALAN,has authored,Need accurate user behaviour? pay attention to groups!,1
Rajesh Krishna BALAN,has authored,Adaptive display power management for OLED displays,1
Rajesh Krishna BALAN,has authored,Wifitrace: Network-based contact tracing for infectious diseases using passive wifi sensing,1
Rajesh Krishna BALAN,has authored,Powerful change part 2: reducing the power demands of mobile devices,1
Rajesh Krishna BALAN,has authored,The impact of process choice in high maturity environments: An empirical analysis,1
Rajesh Krishna BALAN,has authored,Livelabs: Initial reflections on building a large-scale mobile behavioral experimentation testbed,1
Rajesh Krishna BALAN,has authored,Exploiting rich mobile environments,1
Rajesh Krishna BALAN,has authored,Gameon: P2p gaming on public transport,1
Rajesh Krishna BALAN,has authored,TCP HACK: A mechanism to improve performance over lossy links,1
Rajesh Krishna BALAN,has authored,Livelabs: Building in-situ mobile sensing & behavioural experimentation testbeds,1
Rajesh Krishna BALAN,has authored,Game action based power management for multiplayer online game,1
Rajesh Krishna BALAN,has authored,The challenge of continuous mobile context sensing,1
Rajesh Krishna BALAN,has authored,Towards governance schemes for distributed software development projects,1
Rajesh Krishna BALAN,has authored,The case for mobile forensics of private data leaks: Towards large-scale user-oriented privacy protection,1
Rajesh Krishna BALAN,has authored,Spatio-temporal efficiency in a taxi dispatch system,1
Rajesh Krishna BALAN,has authored,Avoiding congestion collapse on the Internet using TCP tunnels,1
Rajesh Krishna BALAN,has authored,The digital wallet: Opportunities and prototypes,1
Rajesh Krishna BALAN,has authored,Simplifying cyber foraging,1
Rajesh Krishna BALAN,has authored,User guidance of resource-adaptive systems,1
Rajesh Krishna BALAN,has authored,IoT+ Small Data: Transforming in-store shopping analytics & services,1
Rajesh Krishna BALAN,has authored,Queuevadis: Queuing analytics using smartphones,1
Rajesh Krishna BALAN,has authored,Engagemon: Multi-modal engagement sensing for mobile games,1
Rajesh Krishna BALAN,has authored,The case for cloud-enabled mobile sensing services,1
Rajesh Krishna BALAN,has authored,Arivu: Power-aware middleware for multiplayer mobile games,1
Rajesh Krishna BALAN,has authored,TCP tunnels: avoiding congestion collapse,1
Rajesh Krishna BALAN,has authored,Graph-aided directed testing of android applications for checking runtime privacy behaviours,1
Rajesh Krishna BALAN,has authored,"Experiences with performance tradeoffs in practical, continuous indoor localization",1
Rajesh Krishna BALAN,has authored,VitaMon: measuring heart rate variability using smartphone front camera,1
Rajesh Krishna BALAN,has authored,Protocols for Low-Power,1
Rajesh Krishna BALAN,has authored,StressMon: Scalable detection of perceived stress and depression using passive sensing of changes in work routines and group interactions,1
Rajesh Krishna BALAN,has authored,Wiwear: Wearable sensing via directional wifi energy harvesting,1
Rajesh Krishna BALAN,has authored,Using infrastructure-provided context filters for efficient fine-grained activity sensing,1
Rajesh Krishna BALAN,has authored,Dimorphic computing,1
Rajesh Krishna BALAN,has authored,HuMan: Creating memorable fingerprints of mobile users,1
Rajesh Krishna BALAN,has authored,Meeting the software engineering challenges of adaptive mobile applications,1
Rajesh Krishna BALAN,has authored,Analyzing the impact of covid-19 control policies on campus occupancy and mobility via passive wifi sensing,1
Rajesh Krishna BALAN,has authored,Annapurna: building a real-world smartwatch-based automated food journal,1
Rajesh Krishna BALAN,has authored,The case for human-centric personal analytics,1
Rajesh Krishna BALAN,has authored,Experiences & challenges with server-side wifi indoor localization using existing infrastructure,1
Rajesh Krishna BALAN,has authored,Real-time detection of seat occupancy & hogging,1
