head,relation,tail,label
Rajesh Krishna BALAN,has authored,Fogfly: A traffic light optimization solution based on fog computing,1
Rajesh Krishna BALAN,has authored,Finding small-bowel lesions: challenges in endoscopy-image-based learning systems,1
Rajesh Krishna BALAN,has authored,Cyber foraging: Fifteen years later,1
Rajesh Krishna BALAN,has authored,Experiences in building a real-world eating recogniser,1
Rajesh Krishna BALAN,has authored,Deepmon: Building mobile gpu deep learning models for continuous vision applications,1
Rajesh Krishna BALAN,has authored,Challenges and opportunities in taxi fleet anomaly detection,1
Rajesh Krishna BALAN,has authored,Pgtp: Power aware game transport protocol for multi-player mobile games,1
Rajesh Krishna BALAN,has authored,A software infrastructure for user–guided quality–of–service tradeoffs,1
Rajesh Krishna BALAN,has authored,Cloud-based query evaluation for energy-efficient mobile sensing,1
Rajesh Krishna BALAN,has authored,Arivu: Making networked mobile games green,1
Rajesh Krishna BALAN,has authored,Digital wallet: Requirements and challenges,1
Rajesh Krishna BALAN,has authored,Giving users the steering wheel for guiding resource-adaptive systems,1
Rajesh Krishna BALAN,has authored,Focusvr: Effective & usable vr display power management,1
Rajesh Krishna BALAN,has authored,LPGL: Low-power graphics library for mobile AR headsets,1
Rajesh Krishna BALAN,has authored,Design and assessment of myoelectric games for prosthesis training of upper limb amputees,1
Rajesh Krishna BALAN,has authored,Improving the performance of wlans by reducing unnecessary active scans,1
Rajesh Krishna BALAN,has authored,Annapurna: An automated smartwatch-based eating detection and food journaling system,1
Rajesh Krishna BALAN,has authored,Examining augmented virtuality impairment simulation for mobile app accessibility design,1
Rajesh Krishna BALAN,has authored,D-pruner: Filter-based pruning method for deep convolutional neural network,1
Rajesh Krishna BALAN,has authored,Towards recognition of rich non-negative emotions using daily wearable devices,1
Rajesh Krishna BALAN,has authored,Matchmaking game players on public transport,1
Rajesh Krishna BALAN,has authored,Dynamic lookahead mechanism for conserving power in multi-player mobile games,1
Rajesh Krishna BALAN,has authored,Heartquake: Accurate low-cost non-invasive ecg monitoring using bed-mounted geophones,1
Rajesh Krishna BALAN,has authored,I4S: capturing shopper's in-store interactions,1
Rajesh Krishna BALAN,has authored,Empath-d: Vr-based empathetic app design for accessibility,1
Rajesh Krishna BALAN,has authored,Jasper: Sensing gamers' emotions using physiological sensors,1
Rajesh Krishna BALAN,has authored,Smartwatch based shopping gesture recognition,1
Rajesh Krishna BALAN,has authored,"W8-Scope: Fine-grained, practical monitoring of weight stack-based exercises",1
Rajesh Krishna BALAN,has authored,New challenges in display-saturated environments,1
Rajesh Krishna BALAN,has authored,Deep ECG Wave Estimation Model with Seismograph Sensor (poster),1
Rajesh Krishna BALAN,has authored,Smart monitoring via participatory ble relaying,1
Rajesh Krishna BALAN,has authored,Empath-d: Empathetic design for accessibility,1
Rajesh Krishna BALAN,has authored,Handling location uncertainty in event driven experimentation,1
Rajesh Krishna BALAN,has authored,Deal or no deal: Catering to user preferences,1
Rajesh Krishna BALAN,has authored,Demo of mobile forensics: Identification of leak causes in mobile applications,1
Rajesh Krishna BALAN,has authored,ARIVU: Making Networked Mobile Games Green-A Scalable Power-Aware Middleware.,1
Rajesh Krishna BALAN,has authored,Multi-modal network protocols,1
Rajesh Krishna BALAN,has authored,Chameleon: A System for Adaptive QoS Provisioning,1
Rajesh Krishna BALAN,has authored,Gym Usage Behavior & Desired Digital Interventions: An Empirical Study,1
Rajesh Krishna BALAN,has authored,CryptoCurrency mining on mobile as an alternative monetization approach,1
Rajesh Krishna BALAN,has authored,myDeal: a mobile shopping assistant matching user preferences to promotions,1
Rajesh Krishna BALAN,has authored,Scalable Consistency Protocols for Massively Multiplayer Games,1
Rajesh Krishna BALAN,has authored,Performance Analysis of the Intel IXP1200 Network Processor,1
Rajesh Krishna BALAN,has authored,Tactics-Based Remote Execution for Mobile Computing. 2003,1
Rajesh Krishna BALAN,has authored,mFerio: the design and evaluation of a peer-to-peer mobile payment system (2009),1
Rajesh Krishna BALAN,has authored,Simultaneous material identification and target imaging with commodity RFID devices,1
Rajesh Krishna BALAN,has authored,Passive Detection of Perceived Stress Using Location-driven Sensing Technologies at Scale,1
Rajesh Krishna BALAN,has authored,Exploratory Analysis of Individuals' Mobility Patterns and Experienced Conflicts in Workgroups,1
Rajesh Krishna BALAN,has authored,Material Identification and Target Imaging with RFIDs [IoT Connection],1
Rajesh Krishna BALAN,has authored,Sensing gamers' emotions using physiological sensors,1
Rajesh Krishna BALAN,has authored,Smartwatch based food diary & eating analytics,1
Rajesh Krishna BALAN,has authored,Group analytics and insights for public spaces,1
Rajesh Krishna BALAN,has authored,Design and implementation of human memorable fingerprints,1
Rajesh Krishna BALAN,has authored,DEMO of Focus: A usable & effective approach to OLED display power management,1
Rajesh Krishna BALAN,has authored,Evolution of a bluetooth test application product line: a case study,1
Rajesh Krishna BALAN,has authored,IEEE Symposium on Security and Privacy,1
Rajesh Krishna BALAN,has authored,Adaptation: This Won’t Hurt a Bit!,1
Rajesh Krishna BALAN,has authored,The Case for Cyber Foraging,1
Rajesh Krishna BALAN,has authored,2021 Index IEEE Transactions on Mobile Computing Vol. 20,1
Rajesh Krishna BALAN,has authored,iMon: Appearance-based gaze tracking system on mobile devices,1
Rajesh Krishna BALAN,has authored,Detection of Social Identification in Workgroups from a Passively-sensed WiFi Infrastructure,1
Rajesh Krishna BALAN,has authored,WiSleep: Scalable Sleep Monitoring and Analytics Using Passive WiFi Sensing,1
Rajesh Krishna BALAN,has authored,Deep ECG estimation using a bed-attached geophone,1
Rajesh Krishna BALAN,has authored,A Low-power Graphics Library for Mobile AR Headset Application Development,1
Rajesh Krishna BALAN,has authored,Moved by conflict: Exploring the relationship between experienced conflict and individual mobility patterns,1
Rajesh Krishna BALAN,has authored,Using mobile technology to improve educational space usage and student engagement,1
Rajesh Krishna BALAN,has authored,Chairs' welcome,1
Rajesh Krishna BALAN,has authored,GPU-based image recognition and object detection on commodity mobile devices,1
Rajesh Krishna BALAN,has authored,Profiling power utilization behaviours of smartwatch applications,1
Rajesh Krishna BALAN,has authored,Real-world deployment of seat occupancy detectors,1
Rajesh Krishna BALAN,has authored,"LiveLabs: Building Real-World Testbeds for Mobile Sensing, Analytics, and Intervention Experiments",1
Rajesh Krishna BALAN,has authored,Graph-aided directed testing of Android applications for checking runtime privacy behaviours.(2016),1
Rajesh Krishna BALAN,has authored,Leveraging automated privacy checking for design of mobile privacy protection mechanisms,1
Rajesh Krishna BALAN,has authored,Real-time Detection for Multiple Occupancy and Near Real-time Hogging Detection,1
Rajesh Krishna BALAN,has authored,Power-efficient context sensing using mobile GPUs,1
Rajesh Krishna BALAN,has authored,Cloud-based Query Evaluation for Energy-Efficient Mobile Sensing.(2014),1
Rajesh Krishna BALAN,has authored,Mobile platform and application research at SMU LiveLabs,1
Rajesh Krishna BALAN,has authored,Demo Abstract: Group Analytics and Insights for Public Spaces,1
Rajesh Krishna BALAN,has authored,Where Am I?: Studying Users’ Indoor Navigation Location Needs,1
Rajesh Krishna BALAN,has authored,ACM HotMobile 2013 demo: Focus: a demo on usable & effective approach to OLED display power management,1
Rajesh Krishna BALAN,has authored,Pervasive Computing for Transit and Transport,1
Rajesh Krishna BALAN,has authored,Challenges and Opportunities in Taxi Fleet Anomaly Detection,1
Rajesh Krishna BALAN,has authored,The Case for Mobile Forensics of Private Data Leaks: Towards Large-Scale User-Oriented Privacy Protection.(2013),1
Rajesh Krishna BALAN,has authored,Next generation mobile computing for dynamic personalised travel planning international workshop,1
Rajesh Krishna BALAN,has authored,myDeal: The Context-Aware Urban Shopping Assistant,1
Rajesh Krishna BALAN,has authored,Adaptive Display Power Management for Mobile Games,1
Rajesh Krishna BALAN,has authored,"Configuring Global Software Teams: A Multi-Company Analysis of Project Productivity, Quality, and Profits",1
Rajesh Krishna BALAN,has authored,The Impact of Process Choice in High Maturity Environments: An Empirical Analysis.(2009),1
Rajesh Krishna BALAN,has authored,Game Action Based Power Management for Multiplayer Online Game,1
Rajesh Krishna BALAN,has authored,Dimorphic Computing (CMU-CS-06-123),1
Rajesh Krishna BALAN,has authored,"Where Am I?: Studying Users’ Indoor Navigation Location Needs.(2014)., 1. Research Collection School Of Information Systems",1
Rajesh Krishna BALAN,has authored,Offshore Software Development,1
Rajesh Krishna BALAN,has authored,Analyzing the Impact of COVID-19 Control Policies on Campus Occupancy and Mobility via WiFi Sensing,1
Rajesh Krishna BALAN,has authored,"W8-Scope: Fine-grained, practical monitoring of weight stack-based exercises.(2021)",1
Rajesh Krishna BALAN,has authored,Session details: Services and use cases,1
Rajesh Krishna BALAN,has authored,Session details: Automotive applications,1
Rajesh Krishna BALAN,has authored,Session details: System support,1
Rajesh Krishna BALAN,has authored,Session details: Energy efficiency,1
Rajesh Krishna BALAN,has authored,Session details: Sensors and data,1
Rajesh Krishna BALAN,has authored,Session details: Analytics,1
Rajesh Krishna BALAN,has authored,Session details: PAPER SESSION 8: Mobile Performance,1
Rajesh Krishna BALAN,has authored,Demo: Smartwatch based food diary and eating analytics.(2016),1
Rajesh Krishna BALAN,has authored,Session details: Applications for dynamic personalised travel planning,1
Rajesh Krishna BALAN,has authored,Session details: Power management and optimization,1
Rajesh Krishna BALAN,has authored,Game Action Based Power Management for Multiplayer Online Game.(2009),1
Rajesh Krishna BALAN,has authored,Demo: Profiling power utilization behaviours of smartwatch applications.(2016),1
Rajesh Krishna BALAN,has authored,Demo: Smartwatch based shopping gesture recognition.(2016),1
Rajesh Krishna BALAN,has authored,Leveraging automated privacy checking for design of mobile privacy protection mechanisms.(2016),1
Rajesh Krishna BALAN,has authored,Demo: Real-world deployment of seat occupancy detectors.(2016),1
Rajesh Krishna BALAN,has authored,The Case for Human-Centric Personal Analytics.(2014),1
Rajesh Krishna BALAN,has authored,Demo: GPU-based image recognition and object detection on commodity mobile devices.(2016),1
Rajesh Krishna BALAN,has authored,Design and assessment of Myoelectric Games for prosthesis training of upper limb amputees.(2019),1
Rajesh Krishna BALAN,has authored,I4S: Capturing shopper’s in-store interactions.(2018),1
Rajesh Krishna BALAN,has authored,FogFly: A traffic light optimization solution based on fog computing.(2018),1
Rajesh Krishna BALAN,has authored,Dynamic Lookahead Mechanism for Conserving Power in Multi-Player Mobile Games.(2012),1
Rajesh Krishna BALAN,has authored,Adaptive Display Power Management for OLED Displays.(2012),1
Rajesh Krishna BALAN,has authored,Session details: Session 1: Analytics for Mental and Physical Health,1
Rajesh Krishna BALAN,has authored,5th ACM/IEEE IoTDI 2020 Technical Program Committee,1
Rajesh Krishna BALAN,has authored,HuMan: Creating Memorable Fingerprints of Mobile Users.(2012),1
Rajesh Krishna BALAN,has authored,CAMEO: A Middleware for Mobile Advertisement Delivery.(2013),1
Rajesh Krishna BALAN,has authored,Towards Detecting and Reducing Unnecessary Active Scans in WLANs,1
Rajesh Krishna BALAN,has authored,Application Assisted Power Management in Multiplayer Mobile Games–Poster & Demo,1
Rajesh Krishna BALAN,has authored,"Multi-Modal Network Protocols Rajesh Krishna Balan, Aditya Akella, Srini Seshan Carnegie Mellon University {rajesh+, aditya+, srini+}@ cs. cmu. edu",1
Rajesh Krishna BALAN,has authored,Demo of MAMBA: A Graph-Aided Directed Tester for Android Applications,1
Rajesh Krishna BALAN,has authored,Jarvis: A Behavioural Experimentation Platform,1
Rajesh Krishna BALAN,has authored,Wi-Fi Based Indoor Localization is Not Easy,1
Rajesh Krishna BALAN,has authored,Standards & Emerging Technologies,1
Rajesh Krishna BALAN,has authored,BSN 2010 Technical Programme Committee,1
Rajesh Krishna BALAN,has authored,"MCMAHAN, HUGH BRENDAN CMU-CS-06-166 MEADOWS, Catherine CMU-CS-06-172 MILLER, Gary CMU-CS-06-132",1
Rajesh Krishna BALAN,has authored,Reviewer Thanks,1
Rajesh Krishna BALAN,has authored,Tactics-Based Remote Execution,1
Rajesh Krishna BALAN,has authored,1 Research Philosophy,1
Rajesh Krishna BALAN,has authored,Dynamic execution placement for mobile application adaptation,1
Rajesh Krishna BALAN,has authored,Research Statement Adaptive Remote Execution for Cyber Foraging,1
Rajesh Krishna BALAN,has authored,SIS-External Research Statement,1
Rajesh Krishna BALAN,has authored,What do Mobile Users Really Carry and Use?,1
Rajesh Krishna BALAN,has authored,Dimorphic Computing: Sustainable Performance Through Thick and Thin,1
Rajesh Krishna BALAN,has authored,Persona Perception Scale: Development and Exploratory Validation of an Instrument for Evaluating Individuals’ Perceptions of Personas,0
Rajesh Krishna BALAN,has authored,Reports of the Workshops Held at the 2017 International AAAI Conference on Web and Social Media,0
Rajesh Krishna BALAN,has authored,Diversity in online advertising: a case study of 69 brands on social media,0
Rajesh Krishna BALAN,has authored,Persona perception scale: developing and validating an instrument for human-like representations of data,0
Rajesh Krishna BALAN,has authored,Revealing the hidden patterns of news photos: analysis of millions of news photos using GDELT and deep learning-based Vision APIs,0
Rajesh Krishna BALAN,has authored,Automatic generation of personas using youtube social media data,0
Rajesh Krishna BALAN,has authored,Predicting Audience Engagement Across Social Media Platforms in the News Domain,0
Rajesh Krishna BALAN,has authored,Multidimensional Analysis of Gender and Age Differences in News Consumption,0
Rajesh Krishna BALAN,has authored,Gender and racial diversity in commercial brands’ advertising images on social media,0
Rajesh Krishna BALAN,has authored,Apparatus and method for processing contents using routing table,0
Rajesh Krishna BALAN,has authored,Stylistic Features Usage: Similarities and Differences Using Multiple Social Networks,0
Rajesh Krishna BALAN,has authored,Characterizing Toxicity in Facebook Comments,0
Rajesh Krishna BALAN,has authored,"View, like, comment, post: Analyzing user engagement by topic at 4 levels across 5 social media platforms for 53 news organizations",0
Rajesh Krishna BALAN,has authored,Viewed by too many or viewed too little: using information dissemination for audience segmentation,0
Rajesh Krishna BALAN,has authored,Demographics of news sharing in the us twittersphere,0
Rajesh Krishna BALAN,has authored,How-to Present News on Social Media: A Causal Analysis of Editing News Headlines for Boosting User Engagement,0
Rajesh Krishna BALAN,has authored,Automatic Persona Generation (APG) A Rationale and Demonstration,0
Rajesh Krishna BALAN,has authored,Efforts towards automatically generating personas in real-time using actual user data,0
Rajesh Krishna BALAN,has authored,Multidimensional analysis of the news consumption of different demographic groups on a nationwide scale,0
Rajesh Krishna BALAN,has authored,"What we read, what we search: Media attention and public attention among 193 countries",0
Rajesh Krishna BALAN,has authored,Are you Charlie or Ahmed? Cultural pluralism in Charlie Hebdo response on Twitter,0
Rajesh Krishna BALAN,has authored,Precision Public Health Campaign: Delivering Persuasive Messages to Relevant Segments Through Targeted Advertisements on Social Media,0
Rajesh Krishna BALAN,has authored,Revealing the hidden patterns of news photos: Analysis of millions of news photos through gdelt and deep learning-based vision apis,0
Rajesh Krishna BALAN,has authored,“Is More Better?”: Impact of Multiple Photos on Perception of Persona Profiles,0
Rajesh Krishna BALAN,has authored,Are personas done?: Evaluating the usefulness of personas in the age of online analytics,0
Rajesh Krishna BALAN,has authored,Towards automatic persona generation using social media,0
Rajesh Krishna BALAN,has authored,Media landscape in Twitter: A world of new conventions and political diversity,0
Rajesh Krishna BALAN,has authored,Consumers and suppliers: attention asymmetries. A case study of Al Jazeera’s news coverage and comments,0
Rajesh Krishna BALAN,has authored,Why individuals seek diverse opinions (or why they don't),0
Rajesh Krishna BALAN,has authored,Whom should we sense in “social sensing”-analyzing which users work best for social media now-casting,0
Rajesh Krishna BALAN,has authored,Validating social media data for automatic persona generation,0
Rajesh Krishna BALAN,has authored,A social transitivity-based data dissemination scheme for opportunistic networks,0
Rajesh Krishna BALAN,has authored,High correlation of Middle East respiratory syndrome spread with Google search and Twitter trends in Korea,0
Rajesh Krishna BALAN,has authored,"Knowledge and Anxiety about COVID-19 in the State of Qatar, and the Middle East and North Africa Region—A Cross Sectional Study",0
Rajesh Krishna BALAN,has authored,Imaginary people representing real numbers: Generating personas from online social media data,0
Rajesh Krishna BALAN,has authored,Customer segmentation using online platforms: isolating behavioral and demographic segments for persona creation via aggregated user data,0
Rajesh Krishna BALAN,has authored,Social media mining for journalism,0
Rajesh Krishna BALAN,has authored,"Assessing the Accuracy of Four Popular Face Recognition Tools for Inferring Gender, Age, and Race.",0
Rajesh Krishna BALAN,has authored,Confusion and information triggered by photos in persona profiles,0
Rajesh Krishna BALAN,has authored,A first look at global news coverage of disasters by using the gdelt dataset,0
Rajesh Krishna BALAN,has authored,Fragmented social media: a look into selective exposure to political news,0
Rajesh Krishna BALAN,has authored,Anatomy of Online Hate: Developing a Taxonomy and Machine Learning Models for Identifying and Classifying Hate in Online News Media.,0
Rajesh Krishna BALAN,has authored,Reports of the Workshops Held at the 2020 International Association for the Advancement of Artificial Intelligence Conference on Web and Social Media,0
Rajesh Krishna BALAN,has authored,Reports of the workshops held at the 2016 International AAAI Conference on Web and Social Media,0
Rajesh Krishna BALAN,has authored,Reports of the workshops held at the 2018 international AAAI conference on web and social media,0
Rajesh Krishna BALAN,has authored,Confusion Prediction from Eye-Tracking Data: Experiments with Machine Learning,0
Rajesh Krishna BALAN,has authored,Semaxis: A lightweight framework to characterize domain-specific word semantics beyond sentiment,0
Rajesh Krishna BALAN,has authored,Introduction to Ph. D. Symposium,0
Rajesh Krishna BALAN,has authored,Inferring social media users’ demographics from profile pictures: A Face++ analysis on Twitter users,0
Rajesh Krishna BALAN,has authored,Identifying and Characterizing Alternative News Media on Facebook,0
Rajesh Krishna BALAN,has authored,A social relation aware routing protocol for mobile ad hoc networks,0
Rajesh Krishna BALAN,has authored,# greysanatomy vs.# yankees: Demographics and Hashtag Use on Twitter,0
Rajesh Krishna BALAN,has authored,Two tales of the world: Comparison of widely used world news datasets GDELT and EventRegistry,0
Rajesh Krishna BALAN,has authored,The challenges of creating engaging content: Results from a focus group study of a popular news media organization,0
Rajesh Krishna BALAN,has authored,Sharing political news: the balancing act of intimacy and socialization in selective exposure,0
Rajesh Krishna BALAN,has authored,A Systematic Media Frame Analysis of 1.5 Million New York Times Articles from 2000 to 2017,0
Rajesh Krishna BALAN,has authored,Convergence of media attention across 129 countries,0
Rajesh Krishna BALAN,has authored,Empirical Evaluation of Three Common Assumptions in Building Political Media Bias Datasets,0
Rajesh Krishna BALAN,has authored,Automatically conceptualizing social media analytics data via personas,0
Rajesh Krishna BALAN,has authored,Are personas done? Evaluating their usefulness in the age of digital analytics,0
Rajesh Krishna BALAN,has authored,Predicting Anti-Asian Hateful Users on Twitter during COVID-19,0
Rajesh Krishna BALAN,has authored,Understanding news geography and major determinants of global news coverage of disasters,0
Rajesh Krishna BALAN,has authored,Partisan sharing: Facebook evidence and societal consequences,0
Rajesh Krishna BALAN,has authored,“Is More Better?” Impact of Multiple Photos on Perception of Persona Profiles,0
Rajesh Krishna BALAN,has authored,Leveraging Social Analytics Data for Identifying Customer Segments for Online News Media,0
Rajesh Krishna BALAN,has authored,Going beyond accuracy: estimating homophily in social networks using predictions,0
Rajesh Krishna BALAN,has authored,Multiplex media attention and disregard network among 129 countries,0
Rajesh Krishna BALAN,has authored,Political discussions in homogeneous and cross-cutting communication spaces,0
Rajesh Krishna BALAN,has authored,FrameAxis: characterizing microframe bias and intensity with word embedding,0
Rajesh Krishna BALAN,has authored,Automatic persona generation for online content creators: Conceptual rationale and a research agenda,0
Rajesh Krishna BALAN,has authored,Why do I retweet it? An information propagation model for microblogs,0
Rajesh Krishna BALAN,has authored,Interference-aware routing protocol in multi-radio wireless mesh networks,0
Rajesh Krishna BALAN,has authored,Leveraging Online Social Media Data for Persona Profiling,0
Rajesh Krishna BALAN,has authored,Tanbih: Get to know what you are reading,0
Rajesh Krishna BALAN,has authored,"From 2,772 segments to five personas: Summarizing a diverse online audience by generating culturally adapted personas",0
Rajesh Krishna BALAN,has authored,Combining Behaviors and Demographics to Segment Online Audiences: Experiments with a YouTube Channel,0
Rajesh Krishna BALAN,has authored,Social Media Mining for Journalism: Guest Editorial,0
Rajesh Krishna BALAN,has authored,Visualizing media bias through Twitter,0
Rajesh Krishna BALAN,has authored,Populist Supporters on Reddit: A Comparison of Content and Behavioral Patterns Within Publics of Supporters of Donald Trump and Hillary Clinton,0
Rajesh Krishna BALAN,has authored,Considering Interference and Li k Q lit f M lti R di Link Quality of Multi-Radio Wireless Mesh Networks,0
Rajesh Krishna BALAN,has authored,Recommending investors for crowdfunding projects,0
Rajesh Krishna BALAN,has authored,Generating cultural personas from social data: a perspective of middle eastern users,0
Rajesh Krishna BALAN,has authored,Social-relation Aware Routing Protocol in Mobile Ad hoc Networks,0
Rajesh Krishna BALAN,has authored,Fixation and Confusion: Investigating Eye-tracking Participants' Exposure to Information in Personas,0
Rajesh Krishna BALAN,has authored,What gets media attention and how media attention evolves over time-large-scale empirical evidence from 196 countries,0
Rajesh Krishna BALAN,has authored,Estimating Homophily in Social Networks Using Dyadic Predictions,0
Rajesh Krishna BALAN,has authored,"What really matters?: characterising and predicting user engagement of news postings using multiple platforms, sentiments and topics",0
Rajesh Krishna BALAN,has authored,What Was Written vs. Who Read It: News Media Profiling Using Text Analysis and Social Media Context,0
Rajesh Krishna BALAN,has authored,Breaking the news: First impressions matter on online news,0
Rajesh Krishna BALAN,has authored,Data-driven approach to measuring the level of press freedom using media attention diversity from unfiltered news,0
Rajesh Krishna BALAN,has authored,Traditional media seen from social media,0
Rajesh Krishna BALAN,has authored,Personas for content creators via decomposed aggregate audience statistics,0
Rajesh Krishna BALAN,has authored,Persona generation from aggregated social media data,0
Rajesh Krishna BALAN,has authored,Findings of a user study of automatically generated personas,0
Rajesh Krishna BALAN,has authored,Who are your users? comparing media professionals' preconception of users to data-driven personas,0
Rajesh Krishna BALAN,has authored,Discursive power in contemporary media systems: A comparative framework,0
Rajesh Krishna BALAN,has authored,A Survey on Predicting the Factuality and the Bias of News Media,0
Jisun AN,researches in,Computational Social Science,1
Jisun AN,researches in,Data Science,1
Jisun AN,researches in,News and Social Media Analytics,1
Jisun AN,researches in,,0
Rajesh Krishna BALAN,researches in,,1
Rajesh Krishna BALAN,researches in,,0
